sp0,zp0,pic0,tone0,phonation0,sp1,zp1,pic1,tone1,phonation1,sp2,zp2,pic2,tone2,phonation2,sp3,zp3,pic3,tone3,phonation3,sp4,zp4,pic4,tone4,phonation4,path,length,glposition,seq,status
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_150_pitch_manipulated_gl_1_5.wav,150,1,1,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_150_pitch_manipulated_gl_2_5.wav,150,2,2,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_150_pitch_manipulated_gl_3_5.wav,150,3,3,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_150_pitch_manipulated_gl_4_5.wav,150,4,4,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_150_pitch_manipulated_gl_5_5.wav,150,5,5,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_225_pitch_manipulated_gl_1_5.wav,225,1,6,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_225_pitch_manipulated_gl_2_5.wav,225,2,7,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_225_pitch_manipulated_gl_3_5.wav,225,3,8,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_225_pitch_manipulated_gl_4_5.wav,225,4,9,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_225_pitch_manipulated_gl_5_5.wav,225,5,10,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_300_pitch_manipulated_gl_1_5.wav,300,1,11,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_300_pitch_manipulated_gl_2_5.wav,300,2,12,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_300_pitch_manipulated_gl_3_5.wav,300,3,13,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_300_pitch_manipulated_gl_4_5.wav,300,4,14,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_300_pitch_manipulated_gl_5_5.wav,300,5,15,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_150_pitch_manipulated_gl_no.wav,150,0,16,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_225_pitch_manipulated_gl_no.wav,225,0,17,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_300_pitch_manipulated_gl_no.wav,300,0,18,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_150_pitch_manipulated_gl_release.wav,150,6,19,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_225_pitch_manipulated_gl_release.wav,225,6,20,test
verde,ya'a,image/green.png,H,R,plaza,ya'a,image/plaza.jpg,R,R,San Andres Yaa,ya',image/san_andres.png,H,C,carrizo,ya,image/carrizo.jpg,F,M,metal,ya,image/metal.png,R,M,dissertation_sound/expzp/yaa_fierro_original_300_pitch_manipulated_gl_release.wav,300,6,21,test
